sample_id,country,last_updated_date,temperature_celsius,temperature_fahrenheit,wind_mph,wind_kph,wind_degree,pressure_mb,pressure_in,precip_mm,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_gb-defra-index
20630,Jordan,2024/8/31,0.473015873,0.475088968,0.663212435,0.661290323,0.832869081,0.71875,0.725274725,0.213791385,0.432989691,0.747474747,0.424757282,0.423751687,0.794932015,0.796708735,0.56557377,0.693140794,0.693693694,0.11324343,0.634223631,0.017786812,0.029895366,0.138957816,0.111269615,1
29030,Malaysia,2024/10/13,0.482539683,0.485765125,0.295650476,0.294371929,0.774373259,0.46875,0.472527473,0.006134969,0.773195876,0.626262626,0.555825243,0.55465587,1,1,0.147540984,0.032490975,0.031531532,0.583709765,0.157990041,0.823719985,0.319774943,0.49646402,0.331783167,4
20997,Georgia,2024/9/2,0.60952381,0.612099644,0.590673575,0.593548387,0.415041783,0.75,0.758241758,0.213791385,0.257731959,0.478247307,0.502427184,0.502024291,1,1,0.647540984,0.451263538,0.45045045,0.090162517,0.420552286,0.00762292,0.011625976,0.14764268,0.216833096,2
8613,Israel,2024/6/28,0.574603175,0.576512456,0.502590674,0.5,0.805013928,0.375,0.373626374,0.213791385,0.618556701,0.478247307,0.480582524,0.480431849,1,1,0.647540984,0.873646209,0.873873874,0.055497925,0.770031689,0.05971287,0.09466866,0.228287841,0.238516405,2
23781,Myanmar,2024/9/16,0.634920635,0.638790036,0.176165803,0.174193548,0.710306407,0.34375,0.340659341,0.668711656,0.742268041,0.747474747,0.611650485,0.611336032,0.794932015,0.796708735,0.483606557,0.321299639,0.322072072,0.181189488,0.348121322,0.022233515,0.053645574,0.363337469,0.328616262,3
18618,Brunei Darussalam,2024/8/21,0.412698413,0.414590747,0.082901554,0.080645161,0.470752089,0.5625,0.571428571,0.213791385,0.93814433,0.747474747,0.487864078,0.487179487,0.794932015,0.796708735,0.073770492,0.14801444,0.146396396,0.263312586,0.105024898,0.06352433,0.024912805,0.011166253,0.006276748,1
9892,Vietnam,2024/7/4,0.536507937,0.539145907,0.533678756,0.535483871,0.359331476,0.46875,0.472527473,0.213791385,0.783505155,0.242424242,0.660194175,0.659919028,1,1,0.073770492,0.429602888,0.427927928,0.70764177,0.043005885,0.599669673,0.493273543,0.282878412,0.17403709,2
23160,Israel,2024/9/13,0.606349206,0.608540925,0.860103627,0.858064516,0.863509749,0.5625,0.571428571,0.213791385,0.546391753,0.478247307,0.565533981,0.564102564,1,1,0.56557377,0.736462094,0.738738739,0.102826763,0.479402445,0.062190319,0.151968112,0.478101737,0.473238231,4
25580,South Korea,2024/9/25,0.377777778,0.379003559,0.150259067,0.151612903,0.735376045,0.65625,0.659340659,0.213791385,0.680412371,0.494949495,0.393203883,0.391363023,1,1,0.483606557,0.16967509,0.168918919,0.478647994,0.117247623,0.842523186,0.37933898,0.356451613,0.264222539,3
21479,Singapore,2024/9/4,0.511111111,0.512455516,0.015544041,0.012903226,0.470752089,0.53125,0.538461538,0.213791385,0.608247423,0.747474747,0.572815534,0.57219973,1,1,0.073770492,0.220216606,0.220720721,0.583709765,0.354519956,0.870283319,0.319774943,0.302729529,0.165477889,3
32858,Kazakhstan,2024/11/2,0.489987158,0.491881398,0.813471503,0.812903226,0.69637883,0.6875,0.692307692,0.213791385,0.927835052,1,0.501750638,0.500710549,1,1,0.008196721,0.74368231,0.743243243,0.323521784,0.23494794,0.080993521,0.216492277,0.136104218,0.126990014,1
17196,South Korea,2024/8/13,0.492063492,0.494661922,0.07253886,0.070967742,0.82729805,0.5,0.494505495,0.213791385,0.731958763,0.131313131,0.558252427,0.556005398,1,1,0.073770492,0.140794224,0.13963964,0.583709765,0.354519956,0.310599391,0.521508055,0.393023089,0.495292439,10
15452,Thailand,2024/8/4,0.463492063,0.464412811,0.10880829,0.103225806,0.715877437,0.5,0.505494505,0.030674847,0.824742268,0.696969697,0.541262136,0.541160594,1,1,0.073770492,0.166064982,0.166666667,0.583709765,0.354519956,0.581882861,0.561368543,0.514888337,0.397146933,5
20671,North Korea,2024/8/31,0.273015873,0.274021352,0.295650476,0.294371929,0.601671309,0.46875,0.483516484,0.213791385,0.670103093,0.323232323,0.286407767,0.286099865,1,1,0.073770492,0.003610108,0.004504505,0.237292531,0.255319149,0.101638928,0.142833416,0.245657568,0.155206847,2
1587,Cambodia,2024/5/23,0.596825397,0.599644128,0.10880829,0.103225806,0.442896936,0.46875,0.472527473,0.335886642,0.701030928,0.494949495,0.953883495,0.954116059,0.794932015,0.796708735,0.073770492,0.537906137,0.538288288,0.583709765,0.072430964,0.398932791,0.298953662,0.79528536,0.455920114,8
12458,Indonesia,2024/7/18,0.476190476,0.478647687,0.502590674,0.5,0.192200557,0.59375,0.593406593,0.018404908,0.690721649,0.242424242,0.5,0.497975709,0.794932015,0.796708735,0.073770492,0.509025271,0.511261261,0.583709765,0.171118153,0.310599391,0.656037203,0.393023089,0.712125535,10
24077,Brunei Darussalam,2024/9/18,0.507936508,0.510676157,0.336787565,0.335483871,0.676880223,0.375,0.373626374,0.625766871,0.690721649,0.747474747,0.662621359,0.661268556,1,1,0.483606557,0.429602888,0.432432432,0.315525588,0.203259393,0.019883115,0.056718153,0.443672457,0.310670471,4
8244,Malaysia,2024/6/26,0.415873016,0.416370107,0.295650476,0.294371929,0.292479109,0.5,0.505494505,0.006134969,0.783505155,0.242424242,0.502427184,0.502024291,1,1,0.073770492,0.025270758,0.022522523,0.583709765,0.354519956,0.310599391,0.893539279,0.985111663,0.543794579,10
14317,Bangladesh,2024/7/30,0.558730159,0.560498221,0.559585492,0.558064516,0.465181058,0.21875,0.197802198,0.435582822,0.711340206,0.565656566,0.665048544,0.663967611,0.794932015,0.796708735,0.56557377,0.563176895,0.563063063,0.355636238,0.185604346,0.321433109,0.197641588,0.122828784,0.070756063,1
18375,Tajikistan,2024/8/19,0.596825397,0.599644128,0.373056995,0.370967742,0.749303621,0.59375,0.593406593,0.213791385,0.257731959,0.478247307,0.483009709,0.481781377,0.794932015,0.796708735,0.56557377,0.411552347,0.412162162,0.075726141,0.378451788,0.001270487,0.004982561,0.129032258,0.245934379,1
9813,Iran,2024/7/4,0.552380952,0.553380783,0.559585492,0.558064516,0.011142061,0.375,0.373626374,0.213791385,0.134020619,0.478247307,0.444174757,0.443994602,1,1,0.647540984,0.458483755,0.459459459,0.056967497,0.705296514,0.022868759,0.028234513,0.071960298,0.068473609,1
14611,Iran,2024/7/31,0.549206349,0.553380783,0.92746114,0.929032258,0.682451253,0.3125,0.307692308,0.213791385,0.051546392,0.478247307,0.444174757,0.442645074,1,1,0.647540984,0.906137184,0.907657658,0.059906639,0.673155274,0.00762292,0.008304268,0.034739454,0.029101284,1
12661,Jordan,2024/7/19,0.663492063,0.667259786,0.590673575,0.593548387,0.860724234,0.5,0.505494505,0.213791385,0.237113402,0.478247307,0.567961165,0.565452092,0.794932015,0.796708735,0.647540984,0.646209386,0.646396396,0.084370678,0.932095971,0.024139245,0.053147318,0.225806452,0.148359486,2
11349,Kuwait,2024/7/12,0.489987158,0.491881398,0.917098446,0.916129032,0.855153203,0.497388152,0.503342242,0.213791385,0.12371134,0.478247307,0.949029126,0.950067476,1,1,0.893442623,0.359369629,0.35952146,0.068551176,0.679492983,0.05208995,0.039860488,0.267990074,0.54721826,2
23045,South Korea,2024/9/12,0.377777778,0.379003559,0.015544041,0.012903226,0.30362117,0.6875,0.692307692,0.213791385,1,1,0.449029126,0.448043185,1,1,0.073770492,0.072202166,0.06981982,0.323521784,0.180624717,0.562825562,0.299451918,0.152171216,0.101654779,2
18123,Mongolia,2024/8/18,0.228571429,0.227758007,0.243523316,0.24516129,0.30362117,0.71875,0.725274725,0.213791385,0.670103093,0.494949495,0.252427184,0.251012146,1,1,0.073770492,0.332129964,0.333333333,0.110390733,0.006790403,0.166433744,0.264075735,0.068238213,0.034807418,1
12996,China,2024/7/23,0.73015873,0.733096085,0.119170984,0.116129032,0.604456825,0.03125,0.010989011,0.213791385,0.371134021,0.02020202,0.730582524,0.728744939,1,1,0.073770492,0.25631769,0.254504505,0.54607538,0.316885469,0.956676407,0.727453911,0.393023089,0.969472183,10
13342,Bahrain,2024/7/25,0.714285714,0.717081851,0.683937824,0.683870968,0.025069638,0.497388152,0.498715487,0.213791385,0.536082474,0.478247307,0.84223301,0.842105263,1,1,0.729508197,0.359369629,0.35952146,0.095954357,0.945224083,0.078770169,0.529812324,0.464019851,0.586590585,4
7282,Kyrghyzstan,2024/6/21,0.387301587,0.387900356,0.487046632,0.487096774,0.520891365,0.40625,0.395604396,0.226993865,0.422680412,0.818181818,0.383495146,0.381916329,0.794932015,0.796708735,0.483606557,0.487364621,0.488738739,0.068551176,0.472159348,0.074958709,0.039860488,0.039702233,0.027960057,1
5854,Azerbaijan,2024/6/14,0.441269841,0.443060498,0.720207254,0.719354839,0.860724234,0.5625,0.571428571,0.213791385,0.494845361,0.242424242,0.444174757,0.442645074,1,1,0.483606557,0.664259928,0.664414414,0.090162517,0.440018108,0.105450387,0.024912805,0.012406948,0.007988588,1
3442,Pakistan,2024/6/1,0.688888889,0.693950178,0.233160622,0.232258065,0.919220056,0.28125,0.263736264,0.213791385,0.082474227,0.478247307,0.560679612,0.558704453,1,1,0.647540984,0.38267148,0.385135135,0.915369986,0.459483929,0.748316605,0.073077562,0.317617866,0.208844508,3
